,FName,LName,DOB,OrderDate
93211,Alma,Walters,8/19/1961,9/2/2020
93212,Sadie,Griffin,4/6/1970,5/5/1923
93213,Lydia,Vaughn,10/14/1995,3/23/2064
93214,Alan,Neal,11/8/1988,8/28/2043
93215,Theodore,Austin,5/21/1984,8/15/1960
93216,Maurice,Hanson,8/20/1984,12/5/1907
93217,Corey,Pittman,7/16/1974,8/4/2004
93218,Ricky,Day,12/1/1963,1/29/1979
93219,Dennis,Cruz,3/31/1988,4/26/1953
93220,Walter,Miller,10/13/1958,5/22/1990
93221,Earl,Frazier,12/18/1958,10/25/1907
93222,Theodore,Lewis,3/25/1973,11/20/1952
93223,Martin,Murray,11/5/1952,3/11/2054
93224,Katharine,Goodwin,11/27/1983,2/17/2019
93225,Mittie,Nash,7/30/1975,3/31/1969
93226,Eva,May,7/26/1987,1/11/1992
93227,Willie,Sandoval,5/26/1954,9/5/2019
93228,Frederick,Obrien,5/6/1958,6/1/1986
93229,Olivia,White,7/7/1986,2/20/1973
93230,Lena,Holt,12/7/1987,11/3/2062
93231,Ronald,Alvarez,12/25/1965,11/27/1950
93232,Lily,Jackson,10/27/1994,2/27/1972
93233,Charles,Ray,7/23/1955,9/23/1963
93234,Helen,Burton,5/8/1984,2/28/1938
93235,Isabel,Guerrero,8/31/1965,7/9/1996
93236,Dennis,Doyle,7/14/1995,6/16/2007
93237,Troy,McKenzie,2/8/1983,6/23/1962
93238,Lela,Waters,2/14/1993,7/25/1927
93239,Maggie,Price,2/19/1958,3/13/2024
93240,Melvin,Martin,3/17/1992,11/9/1944
93241,Lela,Stewart,6/13/1955,6/10/2069
93242,Danny,Fowler,9/6/1975,9/7/1943
93243,Alex,Long,5/7/1977,12/18/1930
93244,Inez,Brooks,2/5/1974,8/9/2048
93245,David,Parker,6/22/1960,7/20/2021
93246,Louise,Edwards,8/17/1973,9/28/2024
93247,Herbert,Pittman,12/25/1963,1/25/1985
93248,Jacob,Rodgers,6/7/1976,8/26/2055
93249,Harriett,Pena,5/10/1981,12/14/2055
93250,Emilie,Wilkins,7/9/1957,12/31/1908
93251,Lillian,Zimmerman,8/3/1981,1/6/2015
93252,Francis,Holland,5/15/1995,1/5/1969
93253,Olive,Rodgers,3/23/1984,2/7/1908
93254,Lola,Wood,8/7/1959,5/29/1930
93255,Allen,Powers,8/14/1985,11/10/2017
93256,Charlie,Quinn,9/19/1997,3/22/1914
93257,Virgie,Hampton,10/27/1981,11/17/2042
93258,Betty,Horton,5/12/1980,1/13/2058
93259,Maud,Mendez,11/28/1963,2/28/1965
93260,Martha,Crawford,2/24/1989,9/14/1969
93261,Lucy,Francis,12/1/1984,5/9/2038
93262,Myrtie,Stokes,1/14/1974,4/11/2002
93263,Jessie,Gonzalez,12/28/1997,7/2/2069
93264,Lula,Morales,7/28/1964,7/25/1998
93265,Ann,Strickland,9/1/1987,6/29/2017
93266,Nathaniel,Hampton,1/17/1999,9/27/2029
93267,Clifford,Rodriquez,3/6/1972,2/13/2014
93268,Lottie,Barton,11/15/1965,3/19/1955
93269,Gordon,Snyder,7/4/1952,2/20/2055
93270,Marie,Wade,2/28/1982,9/13/2014
93271,Gene,Webster,3/21/1968,9/23/2064
93272,Tom,Clayton,7/10/1984,5/21/1944
93273,Justin,Perkins,9/27/1962,8/1/1984
93274,Jon,Martin,4/21/1954,4/27/1968
93275,Julian,Watts,11/3/1958,7/24/2049
93276,Irene,Boone,7/30/1961,5/25/1935
93277,Matilda,Ward,10/1/1979,11/29/1991
93278,Steve,Harris,8/10/1987,10/7/1947
93279,Nina,Holland,3/3/1994,1/1/1926
93280,Rodney,Freeman,1/3/1954,7/20/2065
93281,Nelle,Peterson,10/21/1978,6/22/2054
93282,Essie,Richardson,5/31/1958,5/4/1968
93283,Sophie,Saunders,10/30/1965,7/29/1920
93284,Willie,Castro,5/12/1966,7/17/2005
93285,Bobby,Terry,1/23/1976,6/19/1928
93286,Sue,Castillo,4/3/1983,7/9/1966
93287,Lizzie,Armstrong,1/14/1969,12/31/1998
93288,Stephen,Chambers,12/14/1993,10/13/1952
93289,Lillie,Nunez,4/24/1992,6/8/1964
93290,Landon,Hardy,11/27/1962,4/26/2009
93291,Nora,Lucas,9/29/1997,10/23/1954
93292,Alice,Jenkins,11/5/1969,3/2/1967
93293,Eula,Santiago,12/17/1987,9/12/2025
93294,Alma,Gill,5/5/1994,4/26/1957
93295,Leroy,Barber,2/2/1987,8/27/1964
93296,Victor,Buchanan,2/2/1995,12/3/1966
93297,Jerry,James,4/20/1982,4/18/2065
93298,Gussie,Price,1/8/1961,12/21/1970
93299,Glenn,Daniel,10/7/1985,12/31/2041
93300,Randy,Hicks,4/21/1967,7/24/1966
93301,Sean,Obrien,11/4/1955,2/26/2000
93302,Mitchell,Crawford,5/10/1987,7/7/1922
93303,Matilda,Brown,7/7/1998,2/22/1905
93304,Kenneth,Long,10/6/1968,6/17/1958
93305,Henry,Goodwin,8/12/1954,7/28/2069
93306,Callie,Walters,6/22/1973,1/31/1984
93307,Douglas,Stevens,9/10/1952,8/19/2063
93308,George,Moody,8/16/1979,10/9/2043
93309,Elizabeth,McBride,3/24/1994,9/21/2000
93310,Julia,Montgomery,2/27/1964,2/22/1958
93311,Evelyn,George,12/7/1969,4/29/2000
93312,Juan,Sanchez,3/3/1969,6/3/1997
93313,Lucille,Moore,4/8/1993,7/6/1958
93314,Albert,Neal,1/5/1997,4/22/2039
93315,Thomas,Cole,8/29/1979,11/26/2007
93316,Christina,White,4/19/1968,12/21/1964
93317,Sallie,Byrd,8/26/1980,12/6/1927
93318,Harriet,French,11/27/1977,8/1/1968
93319,Isabel,Morris,8/28/1955,5/23/2040
93320,Lottie,Strickland,12/4/1985,11/3/2054
93321,Leila,Burke,10/20/1985,5/31/2013
93322,Luella,Park,2/15/1977,1/21/2046
93323,Mina,Brock,6/26/1976,11/30/2024
93324,David,Bennett,2/18/1966,6/12/1972
93325,Louisa,Hines,2/8/1954,6/21/2009
93326,Ina,Rodriguez,10/30/1996,6/22/1937
93327,Ann,Potter,3/1/1995,10/5/2053
93328,Luella,Adams,12/22/1995,8/20/1979
93329,Minnie,Cole,9/22/1976,2/1/2037
93330,Nina,Caldwell,1/17/1963,2/22/2018
93331,Winnie,Banks,12/21/1971,11/5/1940
93332,Myrtle,Greene,2/4/1983,12/14/1967
93333,Lee,Holt,1/25/1955,11/12/2069
93334,Elijah,Chandler,8/21/1960,8/10/1987
93335,Eugenia,Moody,7/23/1976,10/18/2058
93336,Olive,Riley,11/27/1960,3/19/1937
93337,Bradley,Colon,12/4/1984,10/17/1988
93338,Chase,Woods,11/24/1954,12/16/2022
93339,William,Glover,9/2/1987,2/21/1969
93340,Ralph,Fletcher,12/23/1965,4/27/2030
93341,Johnny,Moran,5/11/1958,12/1/2052
93342,Brent,Greene,11/9/1977,8/6/2060
93343,Joel,Bowen,1/17/1987,1/9/2038
93344,Owen,Dunn,4/19/1998,7/10/1955
93345,Leona,Horton,2/2/1957,11/12/1959
93346,Glen,Morgan,2/9/1960,1/6/1923
93347,Eddie,Patrick,7/13/1968,5/13/1906
93348,Estella,Watts,9/17/1994,8/13/1966
93349,Sophia,Pope,7/20/1972,7/26/1939
93350,Dean,Norton,8/18/1996,11/19/1941
93351,Flora,Rivera,3/6/1973,11/11/1990
93352,Logan,Welch,4/16/1952,12/13/1975
93353,Eula,Adams,10/7/1961,10/14/1946
93354,Curtis,Steele,4/25/1980,9/10/2004
93355,Barry,Andrews,1/9/1975,5/19/2059
93356,Vincent,Cruz,1/10/1999,4/22/1922
93357,Lena,Bowers,11/14/1952,4/20/2048
93358,Olga,Newman,7/18/1996,11/15/1910
93359,Glen,Phelps,9/10/1974,10/14/1978
93360,Irene,Tyler,3/16/1958,7/7/1970
93361,Mathilda,Bush,1/6/1977,4/24/2005
93362,Kevin,Williams,4/6/1986,6/22/2036
93363,Harry,Boyd,9/26/1963,2/3/2000
93364,Ethel,Thompson,1/19/1995,3/5/1967
93365,Russell,Harper,7/14/1979,4/8/2051
93366,Glen,Haynes,7/13/1966,3/12/1987
93367,Matthew,Barnes,10/11/1970,11/20/2005
93368,Florence,Sims,5/20/1991,1/21/1900
93369,Adrian,Munoz,8/13/1998,5/1/2032
93370,Larry,Tucker,12/14/1996,1/14/1986
93371,Nathaniel,King,6/14/1979,4/14/2024
93372,Louis,Colon,9/3/1959,11/13/1921
93373,Clara,Craig,9/17/1956,5/30/2063
93374,Henrietta,Flores,3/11/1959,11/4/1931
93375,Callie,Bishop,2/4/1959,8/12/1975
93376,Joe,Hubbard,4/22/1967,11/12/1950
93377,Dennis,Sanders,3/11/1955,2/9/1908
93378,Jean,Gonzales,9/28/1959,9/21/1996
93379,Caleb,Hernandez,2/13/1999,4/17/2053
93380,Dominic,Underwood,8/26/1960,11/4/1907
93381,Lelia,Ruiz,10/5/1955,3/9/1960
93382,Ollie,Armstrong,10/28/1989,12/14/1960
93383,Cory,Morris,4/11/1994,11/24/1937
93384,Minerva,Ross,9/11/1973,1/11/1997
93385,Gabriel,Craig,6/14/1964,8/10/1928
93386,Myrtie,Tran,10/13/1953,1/7/1919
93387,Clarence,Watkins,2/26/1985,3/12/1977
93388,Minerva,Kennedy,4/14/1972,9/14/2016
93389,Rhoda,Blair,12/3/1954,5/26/1967
93390,Matilda,Bradley,10/19/1994,6/8/1957
93391,Kenneth,Holt,9/4/1967,6/10/2037
93392,Nathan,Becker,10/18/1962,5/18/2032
93393,Eddie,Ward,3/9/1976,1/8/1907
93394,Dale,Roberts,10/31/1953,5/25/1992
93395,Terry,Chavez,7/30/1978,5/13/1962
93396,Victoria,Coleman,2/2/1985,10/10/1932
93397,Mathilda,Dunn,10/19/1996,2/21/2020
93398,Mollie,Gross,5/15/1985,5/5/2010
93399,Birdie,Diaz,8/30/1990,11/23/2039
93400,Beatrice,Rios,7/14/1983,10/6/1989
93401,Luella,Hamilton,8/31/1988,8/8/1907
93402,Curtis,Estrada,11/11/1956,1/9/2009
93403,Matthew,Jackson,4/18/1996,9/15/1950
93404,Bettie,McCoy,1/12/1976,6/14/2062
93405,Travis,Ward,9/11/1976,3/7/1996
93406,Martha,Patrick,9/18/1998,2/25/1956
93407,Lina,Kim,1/4/1991,8/16/1932
93408,Alta,Kennedy,1/9/1993,3/4/1911
93409,Micheal,Burton,9/23/1975,9/1/1944
93410,Dora,Alvarado,10/17/1981,1/14/1912
93411,Ophelia,Farmer,7/15/1971,7/25/2063
93412,Isaiah,Hampton,1/28/1966,5/10/2049
93413,Caroline,Campbell,6/2/1991,1/11/2002
93414,Floyd,Fisher,11/9/1977,12/5/1971
93415,Francis,Riley,10/20/1992,9/19/2035
93416,Luis,Cook,11/18/1987,9/11/2015
93417,Darrell,Walton,4/12/1965,6/13/1987
93418,Noah,Medina,11/22/1992,11/18/1925
93419,Steve,Mills,2/16/1969,3/15/2024
93420,Phillip,Jones,3/17/1991,10/3/1958
93421,Lettie,Vargas,9/22/1963,7/6/1955
93422,Gene,Ryan,7/4/1957,8/13/2057
93423,Bryan,Hunt,4/7/1976,7/28/1923
93424,Victor,Jennings,5/27/1970,7/12/1972
93425,Clyde,Burke,10/22/1952,7/23/1937
93426,Elsie,Rodgers,10/21/1952,7/5/1996
93427,Henry,McCarthy,11/7/1958,7/8/2028
93428,Jay,Rice,11/30/1953,8/29/2045
93429,Benjamin,Pearson,10/12/1963,11/2/2013
93430,Gabriel,Harper,9/14/1988,10/30/1996
93431,Barbara,Harris,8/8/1966,4/6/1936
93432,Francisco,Torres,6/19/1995,7/4/2069
93433,Manuel,Cain,11/18/1952,6/7/1931
93434,Elsie,Sanchez,7/2/1956,10/21/1949
93435,Oscar,Jenkins,12/1/1979,3/17/2063
93436,Polly,Bryan,9/30/1991,3/9/2033
93437,Frank,Conner,12/15/1980,11/18/2040
93438,Joshua,Herrera,11/21/1974,1/29/1944
93439,Carrie,Perkins,5/8/1983,5/31/2049
93440,Blanche,Brady,1/9/1968,7/22/1964
93441,Jacob,Marshall,8/10/1957,7/8/2038
93442,Janie,Hines,9/13/1974,7/31/1978
93443,Lucas,Herrera,11/17/1952,6/24/2042
93444,Dominic,Barber,8/1/1956,12/11/1920
93445,Jean,Freeman,4/22/1954,4/16/1973
93446,Justin,McDonald,5/21/1953,1/10/2017
93447,Chris,Williamson,10/19/1973,2/7/1997
93448,Louise,Poole,7/31/1964,5/14/1986
93449,Hilda,Vaughn,6/6/1955,6/3/1958
93450,Scott,Higgins,3/19/1996,5/21/1994
93451,Eliza,Shaw,4/12/1962,12/18/1905
93452,Jon,Franklin,6/17/1991,8/23/2022
93453,Benjamin,Oliver,4/16/1984,1/19/1918
93454,Cynthia,Norris,3/18/1955,8/23/2063
93455,Derrick,Bridges,6/22/1969,8/4/1976
93456,Myrtle,Wolfe,3/15/1996,7/6/1941
93457,Francis,McKinney,11/30/1962,12/18/2023
93458,Jerome,Roberson,7/16/1967,9/17/1955
93459,Matilda,Stevenson,8/15/1990,2/3/1973
93460,Roger,Aguilar,6/18/1997,10/16/1985
93461,Allie,Greer,10/15/1957,6/10/1972
93462,Elmer,West,9/16/1991,4/20/1952
93463,Wesley,Nichols,10/12/1971,10/3/2024
93464,Tillie,Gutierrez,6/9/1958,4/17/2045
93465,Mayme,Ball,1/3/1994,10/8/1959
93466,Hannah,Romero,2/1/1977,6/21/2004
93467,Elnora,Mason,9/29/1963,9/4/2050
93468,Barbara,Edwards,6/22/1976,6/14/1924
93469,Curtis,Malone,3/12/1985,11/8/1943
93470,Alex,Welch,3/1/1989,9/10/1964
93471,Jordan,Moody,8/23/1963,11/30/2031
93472,Mittie,Peterson,6/25/1990,7/2/2048
93473,Olive,Guerrero,8/26/1966,7/15/2057
93474,Landon,Green,7/5/1980,8/21/2035
93475,Nelle,Peterson,3/21/1964,6/29/1961
93476,Joshua,Hodges,11/14/1970,4/30/1904
93477,Phillip,Sanchez,3/9/1967,8/14/1979
93478,Ray,Garcia,8/8/1985,8/7/1961
93479,Cynthia,Brady,8/24/1981,3/16/1906
93480,Annie,Bush,7/7/1990,3/18/1907
93481,Dustin,Yates,12/19/1976,3/12/2012
93482,Lydia,Jacobs,1/27/1957,10/16/1989
93483,Bertha,Tran,9/1/1970,3/26/2004
93484,Cora,Lynch,1/30/1991,6/25/2070
93485,Dorothy,Patterson,5/16/1958,6/23/1946
93486,Josie,Bishop,6/25/1975,4/16/1908
93487,Fred,Matthews,10/22/1991,4/7/2019
93488,Cecilia,Morales,2/14/1954,3/17/2060
93489,Ernest,Brady,1/22/1999,7/15/1904
93490,Mollie,Bennett,9/6/1963,6/20/2052
93491,Harry,Marsh,6/18/1986,5/30/1960
93492,Lettie,Garza,9/28/1986,12/7/1931
93493,Jeffrey,Baldwin,3/2/1985,1/11/1929
93494,Eliza,Thomas,5/13/1980,4/15/1952
93495,Maria,Lane,1/11/1954,9/11/2038
93496,Genevieve,Wood,6/5/1968,12/7/1939
93497,Bertie,Cummings,5/17/1988,2/27/1934
93498,Henry,Saunders,8/24/1971,8/30/2027
93499,Dora,Saunders,9/26/1980,6/8/2014
93500,Genevieve,Fletcher,3/17/1954,4/19/1972
93501,Phillip,Schneider,11/1/1967,7/16/2044
93502,Devin,Moss,11/11/1986,3/31/2009
93503,Trevor,Taylor,10/14/1952,4/30/1987
93504,Duane,McDaniel,8/25/1975,4/16/1974
93505,Lucinda,Graves,1/17/1967,5/5/2064
93506,John,Leonard,10/2/1986,3/3/1972
93507,Carlos,Reyes,4/25/1977,8/11/1916
93508,Manuel,McCormick,11/26/1979,2/25/1999
93509,Elijah,Bush,6/23/1952,9/21/1952
93510,Lizzie,Greene,5/1/1955,8/13/1910
93511,Marvin,Gibson,6/3/1964,12/19/2063
93512,Ada,Curry,7/21/1973,1/27/2033
93513,James,Roy,1/12/1998,1/17/1954
93514,Jeffrey,Rice,6/19/1986,10/2/1999
93515,Steve,Massey,5/1/1991,9/2/1977
93516,Roy,Henderson,5/12/1969,5/4/2057
93517,Chase,Greene,8/15/1988,10/28/1936
93518,Ronnie,Floyd,6/24/1986,2/9/1928
93519,Jacob,Webb,6/4/1977,8/29/1977
93520,Ian,Meyer,4/18/1985,12/31/2009
93521,Bessie,Francis,7/20/1995,2/13/2033
93522,Micheal,Marshall,2/22/1994,8/28/1953
93523,Katherine,Lee,11/22/1991,8/25/1916
93524,Cornelia,Townsend,1/15/1983,6/17/1986
93525,Emily,Bailey,4/26/1993,12/22/1962
93526,Sean,Mills,11/18/1977,11/27/1957
93527,Jason,Morgan,9/22/1963,11/25/2054
93528,Jeff,Harrison,10/5/1989,9/23/1944
93529,Mabelle,Wright,2/1/1955,11/3/2038
93530,Kevin,Francis,8/25/1995,2/5/2003
93531,Lucile,Reynolds,8/14/1959,11/13/1905
93532,Della,Chapman,1/26/1978,5/26/2029
93533,Della,Ramsey,3/12/1952,11/12/1968
93534,Rena,Burgess,6/8/1972,10/20/2011
93535,Eric,Garcia,3/25/1969,8/13/2034
93536,Hunter,Powers,9/5/1979,10/17/2057
93537,Marvin,Obrien,10/2/1971,5/3/2067
93538,Mollie,Martin,12/13/1971,7/30/1971
93539,Ina,Obrien,12/28/1978,10/29/1905
93540,Jose,Mitchell,5/9/1964,7/1/2064
93541,Alex,Rogers,3/6/1969,7/27/2063
93542,Joel,Hoffman,8/25/1969,6/24/2018
93543,Eugene,Holloway,9/4/1968,11/30/2026
93544,Nannie,Neal,5/4/1971,9/4/1949
93545,Daniel,Hogan,8/18/1992,7/11/1958
93546,Helena,Wise,6/28/1991,11/9/2066
93547,Milton,Gill,12/27/1968,7/16/2004
93548,Verna,Weber,12/13/1981,4/13/2062
93549,Harriet,Miller,8/12/1962,12/7/1943
93550,Dylan,Bates,7/14/1970,9/24/1924
93551,Minerva,Malone,5/14/1959,8/1/1990
93552,Alexander,Copeland,2/22/1984,3/26/2009
93553,Jane,Quinn,8/7/1953,9/14/1911
93554,Aaron,Gonzales,6/10/1963,3/27/2035
93555,Julian,Hogan,9/9/1986,9/11/1961
93556,Elsie,Rios,9/19/1956,5/27/2018
93557,Walter,Hughes,6/26/1964,4/15/2060
93558,Steven,Frazier,4/5/1959,9/18/2068
93559,Arthur,May,6/2/1986,5/16/1969
93560,Roy,Fitzgerald,7/14/1952,7/21/1982
93561,Mildred,Summers,6/2/1955,9/4/2044
93562,Joel,Lynch,5/25/1969,1/11/2043
93563,Eugenia,Swanson,12/28/1999,9/4/1931
93564,Benjamin,Miles,1/18/1968,8/21/2006
93565,Justin,Farmer,8/5/1970,10/5/1991
93566,Dora,Collins,4/15/1960,3/17/1925
93567,Brandon,Young,6/1/1977,9/15/2012
93568,Edwin,Mitchell,3/4/1994,10/29/1971
93569,Mary,Rogers,1/4/1996,9/2/2005
93570,Mario,Tate,9/25/1983,5/26/2036
93571,Christina,Dean,7/23/1983,8/2/1958
93572,Katie,Torres,10/5/1978,7/17/1900
93573,Richard,Hardy,4/11/1954,2/6/1972
93574,Thomas,Nichols,1/22/1955,9/29/1994
93575,Hulda,McDonald,2/9/1980,12/13/1966
93576,Chris,Campbell,10/11/1954,9/18/2066
93577,Fannie,Patterson,6/1/1959,4/25/1928
93578,Glen,Adkins,7/20/1953,9/2/2030
93579,Stanley,Higgins,2/12/1961,3/24/2048
93580,Lucile,Moreno,1/10/1959,12/30/1960
93581,Vincent,Ramirez,12/12/1996,1/18/1935
93582,Randall,Jackson,1/18/1960,9/1/1981
93583,Christina,Cross,4/4/1996,4/12/2058
93584,Minerva,Gibson,6/16/1985,9/15/1907
93585,Edward,Rodriguez,7/28/1996,6/22/2050
93586,Austin,Strickland,10/22/1973,3/5/1932
93587,Harriet,Austin,2/15/1993,4/28/1947
93588,Iva,Turner,8/9/1975,4/14/2052
93589,Rose,Bradley,9/12/1957,12/30/1987
93590,Sallie,Wilson,11/23/1974,12/13/2040
93591,Nellie,Willis,3/5/1955,11/16/2042
93592,Dollie,Hammond,1/21/1992,2/14/2001
93593,Belle,Webb,11/12/1953,2/18/2070
93594,Floyd,Wilson,11/12/1966,10/15/1963
93595,Brent,Norman,1/15/1976,4/9/2001
93596,Todd,Schultz,9/17/1958,11/22/2047
93597,Nancy,Huff,5/26/1956,7/26/2051
93598,Allen,Fitzgerald,3/4/1954,12/6/2001
93599,Estelle,French,10/4/1989,12/24/2032
93600,Patrick,Allen,10/31/1959,8/2/2032
93601,Bettie,Gilbert,5/4/1987,1/18/1904
93602,Willie,Mills,4/26/1960,11/27/2030
93603,Robert,Gill,3/25/1977,3/22/1947
93604,Seth,Price,4/18/1956,4/7/2039
93605,Floyd,McDonald,9/8/1999,12/31/2038
93606,Sallie,Burgess,6/5/1996,8/2/2019
93607,Beulah,Fernandez,10/9/1990,8/20/2010
93608,Franklin,Hammond,8/6/1989,12/6/2045
93609,Annie,Martinez,8/18/1956,1/25/2019
93610,Eula,Garza,12/7/1996,8/2/2056
93611,Ruth,Johnston,9/24/1952,12/3/1970
93612,Jack,Alvarado,6/28/1987,5/1/2013
93613,Laura,McBride,12/29/1962,6/12/2042
93614,Jennie,Miles,6/2/1989,7/21/1998
93615,Cody,Terry,11/9/1960,6/6/2050
93616,Jared,Harrison,3/16/1975,3/24/2015
93617,Lou,Thornton,9/24/1988,8/12/1967
93618,Hester,Matthews,8/22/1954,9/13/2053
93619,Marian,Wilson,12/29/1994,5/16/1999
93620,Lelia,Nunez,3/15/1988,9/28/1906
93621,Willie,McLaughlin,3/31/1996,5/11/1986
93622,Eliza,Sanchez,6/10/1997,1/6/1903
93623,Adam,Poole,5/13/1960,4/2/2015
93624,Joe,Snyder,1/21/1996,4/12/1914
93625,Lula,Wheeler,12/27/1983,8/22/2023
93626,Derek,Miles,8/11/1994,12/31/2018
93627,Harold,Harris,7/4/1960,5/12/2057
93628,Ina,Banks,12/29/1985,8/1/2033
93629,Adam,Hale,12/31/1992,3/10/1929
93630,Lola,Ballard,9/24/1987,7/21/1943
93631,May,Rios,11/27/1993,11/6/2070
93632,Mae,Riley,11/25/1966,2/24/1963
93633,Ray,Houston,2/20/1997,7/5/1902
93634,Erik,McDonald,9/4/1969,8/29/2004
93635,Adeline,Malone,6/6/1988,10/5/1954
93636,Melvin,Russell,6/10/1995,10/31/2035
93637,Mario,Martinez,6/12/1966,8/2/2029
93638,Aaron,Lee,5/5/1976,8/26/1912
93639,Estelle,Hall,1/29/1979,3/2/2019
93640,Marvin,Hogan,6/16/1980,8/21/2006
93641,Ruby,Moore,11/18/1979,10/17/1976
93642,Cole,Ray,9/19/1958,10/17/2048
93643,Rosetta,Elliott,7/12/1990,7/8/2041
93644,Nellie,Atkins,8/2/1981,11/17/1973
93645,Mark,Abbott,12/16/1990,12/28/2015
93646,Adrian,Green,9/7/1963,3/14/1908
93647,Georgie,Patrick,9/23/1965,8/4/2054
93648,Rena,Day,4/17/1955,7/5/1986
93649,Fannie,Mason,5/1/1980,10/19/2019
93650,Lenora,Alexander,10/28/1977,6/25/2030
93651,Anne,Reynolds,1/19/1963,11/20/1932
93652,Benjamin,Hunt,2/2/1975,12/20/1964
93653,Anne,Gibson,11/6/1989,2/12/1910
93654,Josie,Lindsey,4/20/1967,8/22/2014
93655,Myrtie,George,2/18/1953,2/20/2048
93656,Mike,Sutton,4/18/1977,7/9/2032
93657,Phoebe,Ryan,11/29/1988,5/21/1947
93658,Donald,Goodman,1/10/1953,1/14/2009
93659,Russell,Houston,3/30/1993,10/24/1962
93660,Winnie,Pope,6/12/1987,3/24/1913
93661,Clyde,Townsend,6/13/1955,9/20/1941
93662,Jeff,Moss,9/26/1995,9/10/1979
93663,Lura,Vasquez,3/10/1983,7/20/1944
93664,Lois,Garner,10/31/1964,11/7/1941
93665,Nancy,Ruiz,2/27/1967,5/27/1977
93666,Gavin,Boyd,3/21/1965,5/15/1960
93667,Christopher,Pittman,4/20/1999,6/8/1958
93668,Timothy,McGuire,2/7/1964,6/3/2056
93669,Ray,Stanley,11/22/1977,9/13/2003
93670,Sallie,Hines,4/21/1996,6/28/2024
93671,Herbert,Reeves,2/13/1994,3/30/2021
93672,Gabriel,Adkins,12/31/1998,7/15/2002
93673,Leila,Daniels,2/18/1989,10/18/1987
93674,Christian,Robertson,2/17/1960,8/1/1945
93675,Michael,Gibson,2/20/1963,4/28/1928
93676,Eliza,Francis,6/20/1966,8/14/1946
93677,Frank,Dixon,2/16/1981,6/6/1969
93678,Mollie,Montgomery,12/6/1987,7/27/2017
93679,Marion,Goodwin,12/3/1980,1/1/2043
93680,Timothy,Gray,3/16/1986,12/22/2036
93681,Mittie,Sherman,10/28/1968,2/3/1939
93682,Randy,Lynch,7/31/1954,12/3/1912
93683,Gabriel,Simmons,12/12/1956,12/11/1980
93684,Joseph,Butler,4/27/1981,7/31/1972
93685,Sam,Pittman,3/3/1955,3/29/1990
93686,Elva,Craig,2/28/1985,7/5/1988
93687,Vera,May,7/6/1959,5/8/2000
93688,Harriett,Yates,9/16/1981,2/3/1953
93689,Janie,Glover,6/9/1974,6/7/1922
93690,Landon,Bryan,3/21/1994,5/3/1905
93691,Darrell,Byrd,9/10/1954,8/10/2037
93692,Tyler,Knight,11/15/1967,5/18/1938
93693,Craig,Phelps,4/8/1960,1/2/1994
93694,Agnes,Fuller,9/5/1990,2/27/1943
93695,Jacob,Pierce,7/21/1971,9/15/2062
93696,Daniel,Alexander,7/14/1966,11/6/2005
93697,Alice,Oliver,12/1/1979,9/25/1941
93698,Leon,McCarthy,2/10/1966,7/15/1993
93699,Lillie,Knight,7/27/1963,7/15/2015
93700,Emily,Willis,10/10/1974,12/27/1922
93701,Katie,Gomez,7/20/1983,9/21/1964
93702,Shane,Rodriguez,9/20/1965,5/26/2000
93703,Pearl,Wade,7/26/1976,4/15/1912
93704,Jerome,Bush,3/9/1982,1/8/2012
93705,Addie,Hunter,9/19/1992,4/16/2040
93706,Melvin,Rowe,1/3/1980,9/12/2028
93707,Mark,Gardner,1/27/1969,9/14/1962
93708,Esther,Lucas,3/6/1985,1/21/1909
93709,Don,Carpenter,2/25/1984,6/18/1977
93710,Paul,Anderson,3/9/1967,4/12/2064
93711,Charlie,Kelly,2/23/1965,9/27/1957
93712,Clyde,Garza,2/4/1970,4/16/1948
93713,Cynthia,Payne,8/12/1963,1/6/1931
93714,Jerome,Stephens,7/2/1999,8/21/2029
93715,Sam,Figueroa,11/10/1967,1/3/1986
93716,Gilbert,Barnes,11/7/1997,10/30/2049
93717,Shawn,Dawson,11/18/1988,5/18/1945
93718,Francisco,Silva,8/17/1966,4/15/1990
93719,Ophelia,Simpson,2/12/1978,8/2/1901
93720,Georgie,Weaver,1/6/1967,11/6/1962
93721,Eddie,Ellis,9/28/1982,7/11/2034
93722,Cory,Bowers,3/23/1959,12/15/1954
93723,Evan,Frank,5/2/1962,11/26/2046
93724,Edith,Carson,12/28/1967,9/25/1997
93725,Luella,Page,12/31/1953,4/29/2017
93726,Olivia,Keller,3/29/1980,12/2/1934
93727,Nathan,Adkins,10/16/1968,4/25/1910
93728,Frances,Dean,4/23/1999,4/20/1980
93729,Mathilda,Aguilar,4/19/1966,7/11/2044
93730,Seth,Adams,12/10/1971,9/4/1932
93731,Mildred,Becker,1/6/1990,11/24/2060
93732,Cory,Flores,7/13/1990,5/6/1902
93733,Shane,Schmidt,3/21/1981,7/20/1950
93734,Nancy,Greer,2/17/1982,2/23/1972
93735,Edward,Harris,3/10/1986,11/12/2015
93736,Rebecca,Soto,12/11/1967,11/21/1995
93737,Alvin,Bell,3/6/1970,4/17/1967
93738,Ricky,Alexander,9/30/1999,6/14/1961
93739,Gregory,Hogan,3/23/1967,2/23/1998
93740,Estelle,Moody,9/16/1963,1/11/1966
93741,Tony,McKinney,3/2/1988,9/22/1943
93742,Alma,Potter,5/30/1971,7/11/1980
